频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
00s Replay,https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8,https://images.pluto.tv/channels/62ba60f059624e000781c436/colorLogoPNG.png,,,,Movies,00sReplay.us@SD,
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""General"",1+1 International",,https://i.imgur.com/LOY0rtp.png,,,,General,1Plus1International.ua@SD,
1+1 International HD (720p),https://dash2.antik.sk/live/test_one_plus_one_int_tizen/playlist.m3u8,https://i.imgur.com/LOY0rtp.png,,,,General,1Plus1International.ua@HD,
1+1 Marafon (1080p),https://dash2.antik.sk/live/1plus1_marathon/playlist.m3u8,https://i.imgur.com/smQKa2G.png,,,,General,1Plus1Marafon.ua@SD,
"like Gecko) Chrome/120.0.0.0 Safari/537.36"" group-title=""General"",1+1 Ukraina (1080p)",,https://i.imgur.com/FlG7npq.png,,,,General,1Plus1Ukraina.ua@SD,
1-2-3 TV (270p),https://123tv-mx1.flex-cdn.net/index.m3u8,https://i.imgur.com/slSUDNX.png,,,,Shop,123tv.de@SD,
1Almere TV (720p),https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8,https://i.imgur.com/XfkbTrU.png,,,,General,1AlmereTV.nl@SD,
1KZN TV (576p),https://cdn.freevisiontv.co.za/sttv/smil:1kzn.stream.smil/playlist.m3u8,https://admango.cdn.mangomolo.com/analytics/uploads/188/6544bebaae.jpg,,,,Entertainment;Family;General,1KZNTV.za@SD,
1TV (720p),https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8,https://i.imgur.com/FSkYLPK.png,,,,General,1TV.ge@SD,
1Twente TV (1080p),https://ms7.mx-cd.net/dtv-11/198-989148/1Twente_TV.smil/chunklist_w954512639_b4292608_slNLD.m3u8,https://i.imgur.com/ftiuNK3.png,,,,General,1TwenteTV.nl@SD,
"like Gecko) Chrome/130.0.0.0 Safari/537.36"" group-title=""General"",2+2 (1080p)",,https://i.imgur.com/v6KBgqk.png,,,,General,2Plus2.ua@SD,
2+2 Marathon (1080p),https://lowa8026-cmyk.github.io/Ukraine/Edyni_Novyny/2Plus2Marafon.m3u8,https://i.imgur.com/v6KBgqk.png,,,,General,2Plus2Marathon.ua@SD,
2GB Sydney (1080p),https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8,https://i.ibb.co/jwM8DFG/2GB-1.png,,,,News,2GB.au@SD,
2M,http://185.9.2.18/chid_218/index.m3u8,https://i.imgur.com/PJYTfHi.png,,,,General,2M.ma@SD,
2M Monde (360p),,https://i.imgur.com/MvpntzA.png,,,,General,2MMonde.ma@SD,
2M Monde +1 (1080p),https://d2qh3gh0k5vp3v.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-n6pess5lwbghr/2M_ES.m3u8,https://i.imgur.com/MvpntzA.png,,,,General,2MMonde.ma@Plus1,
2TV (720p),https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8,https://i.imgur.com/FJBL6zI.png,,,,General,2TV.ge@SD,
2x2 (576i),https://bl.rutube.ru/livestream/392b4686b770bae2da6bf5ac4574add5/index.m3u8?e=2068731801&s=tenr-yHXUv1wibfka78s2A&scheme=https,https://i.imgur.com/fhQFLEl.png,,,,Entertainment,2x2.ru@SD,
3ABN Canada (720p),https://3abn.bozztv.com/3abncanada/3ABN/master.m3u8,https://i.imgur.com/U99CsEc.png,,,,Religious,3ABNCanada.ca@SD,
3ABN Dare To Dream Network,https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8,https://i.imgur.com/oNUpXA9.png,,,,Religious,DareToDreamNetwork.us@SD,
3ABN English,https://3abn.bozztv.com/3abn2/3abn_live/smil:3abn_live.smil/playlist.m3u8,https://i.imgur.com/bgJQIyW.png,,,,Religious,3ABNEnglish.us@SD,
3ABN French,https://3abn.bozztv.com/3abn2/Fre_live/smil:Fre_live.smil/playlist.m3u8,https://i.imgur.com/B5gsM7m.png,,,,Religious,3ABNFrench.us@SD,
3ABN International Network (720p),https://3abn.bozztv.com/3abn2/Int_live/smil:Int_live.smil/playlist.m3u8,https://i.imgur.com/IecOZHR.png,,,,Religious,3ABNInternational.us@SD,
3ABN Kids Network,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8,https://i.imgur.com/z3npqO1.png,,,,Animation;Kids;Religious,3ABNKids.us@SD,
