频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
鹤岗新闻综合,http://[2409:8087:1a01:df::4060]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8,,,,鹤岗新闻综合,鹤岗新闻综合,,,https://www.xn--rgv465a.top/tvlogo/鹤岗新闻综合.png,☘️黑龙江频道,,Guovin.txt
鹤岗新闻综合,http://[2409:8087:1a01:df::4060]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8,,,,鹤岗新闻综合,鹤岗新闻综合,,,https://www.xn--rgv465a.top/tvlogo/鹤岗新闻综合.png,☘️黑龙江频道,,Guovin.txt
齐齐哈尔新闻综合,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226437,,,,齐齐哈尔新闻综合,齐齐哈尔新闻综合,,,https://www.xn--rgv465a.top/tvlogo/齐齐哈尔新闻综合.png,☘️黑龙江频道,,Guovin.txt
齐齐哈尔新闻综合,http://[2409:8087:1a15:10d1::31]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8,,,,齐齐哈尔新闻综合,齐齐哈尔新闻综合,,,https://www.xn--rgv465a.top/tvlogo/齐齐哈尔新闻综合.png,☘️黑龙江频道,,Guovin.txt
齐齐哈尔新闻综合,https://stream1.freetv.fun/ipv6-qi-qi-ha-er-xin-wen-zong-he-3.m3u8,,,,齐齐哈尔新闻综合,齐齐哈尔新闻综合,,,https://www.xn--rgv465a.top/tvlogo/齐齐哈尔新闻综合.png,☘️黑龙江频道,,Guovin.txt
双鸭山综合,http://live.qthnews.org.cn:1935/live/live2/800k/tzwj_video.m3u8,,,,双鸭山综合,双鸭山综合,,,https://www.xn--rgv465a.top/tvlogo/双鸭山综合.png,☘️黑龙江频道,,Guovin.txt
七台河民生社教,http://yp.qqqtv.top/1/api.php?id=%E4%B8%83%E5%8F%B0%E6%B2%B3%E6%B0%91%E7%94%9F%E7%A4%BE%E6%95%99&auth=666858,,,,七台河民生社教,七台河民生社教,,,https://www.xn--rgv465a.top/tvlogo/七台河民生社教.png,☘️黑龙江频道,,Guovin.txt
翡翠台,http://r.jdshipin.com/62WM7,,,,翡翠台,翡翠台,,,https://gitee.com/suxuang/logo/raw/master/mylogo/翡翠台.png,🌊港·澳·台,,Guovin.txt
明珠台,https://hls-gateway.vpstv.net/streams/476936.m3u8,,,,明珠台,明珠台,,,https://www.xn--rgv465a.top/tvlogo/明珠台.png,🌊港·澳·台,,Guovin.txt
凤凰资讯,https://hls-gateway.vpstv.net/streams/476958.m3u8,,,,凤凰资讯,凤凰资讯,,,https://www.xn--rgv465a.top/tvlogo/凤凰资讯.png,🌊港·澳·台,,Guovin.txt
