频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
CCTV-1 综合,http://10.1.1.1:4022/rtp/239.21.1.120:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV1,CCTV-1 综合,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-1 综合,http://10.1.1.1:4022/rtp/239.21.1.1:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV1,CCTV-1 综合,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,720x576,1sddxzb.m3u
CCTV-2 财经,http://10.1.1.1:4022/rtp/239.21.1.151:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV2,CCTV-2 财经,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV2.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-3 综艺,http://10.1.1.1:4022/rtp/239.21.2.45:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV3,CCTV-3 综艺,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV3.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-4 中文,http://10.1.1.1:4022/rtp/239.21.1.154:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV4,CCTV-4 中文,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV4.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-5 体育,http://10.1.1.1:4022/rtp/239.21.2.46:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV5,CCTV-5 体育,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV5.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-5+ 体育赛事,http://10.1.1.1:4022/rtp/239.21.1.142:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV5+,CCTV-5+ 体育赛事,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV5+.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-6 电影,http://10.1.1.1:4022/rtp/239.21.2.47:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV6,CCTV-6 电影,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV6.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-7 国防军事,http://10.1.1.1:4022/rtp/239.21.1.152:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV7,CCTV-7 国防军事,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV7.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-8 电视剧,http://10.1.1.1:4022/rtp/239.21.2.48:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV8,CCTV-8 电视剧,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV8.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-9 纪录,http://10.1.1.1:4022/rtp/239.21.1.153:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV9,CCTV-9 纪录,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV9.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-10 科教,http://10.1.1.1:4022/rtp/239.21.1.155:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV10,CCTV-10 科教,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV10.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-11 戏曲,http://10.1.1.1:4022/rtp/239.21.2.2:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV11,CCTV-11 戏曲,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV11.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-12 社会与法,http://10.1.1.1:4022/rtp/239.21.1.156:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV12,CCTV-12 社会与法,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV12.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-13 新闻,http://10.1.1.1:4022/rtp/239.21.2.3:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV13,CCTV-13 新闻,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV13.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-14 少儿,http://10.1.1.1:4022/rtp/239.21.1.157:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV14,CCTV-14 少儿,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV14.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-15 音乐,http://10.1.1.1:4022/rtp/239.21.2.4:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV15,CCTV-15 音乐,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV15.png,📺 央视频道,1920x1080,1sddxzb.m3u
CCTV-16 奥林匹克,http://10.1.1.1:4022/rtp/239.21.2.110:5002?fcc=150.138.8.132:8027,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV16,CCTV-16 奥林匹克,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV16.png,📺 央视频道,1920x1080,1sddxzb.m3u
